"题目","朝代","作者","内容"
"登鸡鸣山入寺小憩","清末民国初","金武祥","禅关寂寂径通幽，步上鸡鸣最上头。眢井长埋千古恨，虚堂高吸一湖秋。偶逢奇石向人立，时有閒云随客留。莫到台城增感慨，登临且与豁吟眸。"
"题赵茌舲孝廉剩稿为令弟华野明府作","清末民国初","金武祥","当年乐事说天伦，遗稿重搜渍泪痕。千古文章悲浩劫，一编心血护忠魂。奇才定斫王郎剑，逸韵犹传伯氏埙。此后残篇倍珍惜，长同正气塞乾坤。"
"喜晤周钧甫","清末民国初","金武祥","忆从往岁别乡关，何幸重逢客路间。阅历又添新著作，风尘未改旧容颜。奇才磊落凭谁拔，傲骨崚嶒肯自孱。握手祇宜同一醉，茫茫且莫话时艰。"
"渡江","清末民国初","金武祥","又出横坍口，中流望渺然。沙痕分断港，帆影落遥天。风细晴云绉，江空落日圆。仓皇争北渡，犹忆十年前。"
"雨阻横坍市","清末民国初","金武祥","小市开江岸，沙堤四望遥。烟波才廿里，风雨又连宵。泥烂涂蓬壁，潮乾涸板桥。何当春水发，归去放轻桡。"
"甲戌春初赴罗墅湾二首 其一","清末民国初","金武祥","辚辚侵晓历垞坡，不用轻航泛绿波。风日晴和逾卅里，冈峦重叠跨三河。经春揽景年光换，触境思亲涕泪多。二十年前板舆侍，牵衣此地几回过。"
"甲戌春初赴罗墅湾二首 其二","清末民国初","金武祥","童时旧事不堪论，就傅曾从通德门。四载沧桑前度认，百年乔木几家存。盈阶兰玉绵先泽，入社须眉仰达尊。太息渭阳馀硕果，那禁情话到三更。"
"春游至伞墩观梅","清末民国初","金武祥","江南十日春风颠，三十三峰争呈妍。游心一发不可遏，如马纵辔箭脱弦。平生名胜爱周历，家山咫尺宁舍旃。譬犹珍错餍山海，莼鲈乡味倍足怜。舜过秦望日相对，城东佳处尤情牵。砂山定山二山缺，伞墩突起高逾拳。两狮对峙作毬戏，双龙挟走同珠圆。上有古洞深复黝，下有湖水清且涟。不须吊古动感慨，揽景自足供流连。况有梅花万千树，环山一白何绵延。罗浮世界香雪海，神迷骨醉疑登仙。就中古梅作花祖，铁干蟠屈生何年？深林一入误向背，左挹右拍空盘旋。惜哉林逋未见此，只今艳羡西湖边。乃知名花与胜境，附骥亦赖高人传。此花此境久阒寂，我来一笑非偶然。良游既践山水约，会当筑屋林峦巅。苍松翠竹并罗列，结邻三友应宿缘。诗成更向老梅说，可能脱去尘俗追前贤？"
"包公彦学博见赠长古作此答之","清末民国初","金武祥","昔我揽胜城东隅，老梅花发香满湖。人事卒卒兴尽返，惜哉未访高人庐。握手迟速亦前定，失之交臂曾遇涂。倾心一见似相识，性有同嗜德不孤。抟沙聚散只俄顷，多感贻我双鲤鱼。新诗满幅惠复辱，如耀锦绣锵琼琚。纵横逸气溢毫素，希踪太白淩髯苏。自惭弱冠逢丧乱，不殖将落空嗟吁。网罗散佚敢自懈，冀绍家学回时趋。先生好古屏俗尚，等身著述勤菑畬。一编乃许善蒐讨，相视而笑若合符。方今龙飞下明诏，旁求俊乂尊师儒。维君硕学漫高蹈，相需殷岂相遇疏。雍容揄扬际盛世，别裁伪体大雅扶。此诗此语试相质，以为息坏其可乎。"
"赠龚少渔明府","清末民国初","金武祥","移家爱向六朝居，花满江南奉板舆。渤海循声传太守，定山学术继尚书。枕戈慷慨勋曾策，揽辔澄清愿岂虚。我为苍生乞霖雨，梓邦先莅使君旟。"
"感怀","清末民国初","金武祥","功名蕉鹿未为真，四顾茫茫惜此身。未免热肠猜世俗，漫将巨眼望风尘。江湖浪迹逾千里，花月欢场又一旬。要识人生行乐耳，不须惆怅说沈沦。"
"寄怀姚秋坪刺史刘雪子通守严星樵明府许午楼孝廉卞晋卿明经均于秦淮作平原十日之饮者也 其一","清末民国初","金武祥","风流幸接令公香，画舫清尊乐未央。梅瘦菊肥桃李艳，与君十日费评量。"
"寄怀姚秋坪刺史刘雪子通守严星樵明府许午楼孝廉卞晋卿明经均于秦淮作平原十日之饮者也 其二","清末民国初","金武祥","回首欢场动别愁，津亭相送感绸缪。隋堤烟柳秦淮月，并作江天一片秋。"
"扬州即事四首 其一","清末民国初","金武祥","鸿雪游踪到处缘，不须十万说腰缠。者番骑上扬州鹤，只与琴书共一船。"
"扬州即事四首 其二","清末民国初","金武祥","炉香茗椀称清游，稳泛轻航狎鹭鸥。一片残荷两行柳，虹桥西去好寻秋。"
"扬州即事四首 其三","清末民国初","金武祥","高堂重向蜀冈开，秋色澄清绝点埃。试豁吟眸成一笑，青山随我过江来。"
"扬州即事四首 其四","清末民国初","金武祥","琼瑶远寄墨犹新，过访壶园迹已陈。甘四桥头一回首，空留明月吊诗人。"
"过梅花岭谒史阁部墓","清末民国初","金武祥","只有扬州路，梅花历劫存。当年动诗兴，此地伴忠魂。世界冰霜老，风尘战伐昏。生前家国恨，过墓怕重论。"
"德安道中","清末民国初","金武祥","红树青山分外妍，昨宵风雨又连天。征途到此真如画，行过倪迂又米颠。"
"滕王阁","清末民国初","金武祥","有客舣棹游南昌，三度访古悲沧桑。眼前突兀忽见此，依然高阁閒滕王。昨由机船溯扬子，一日千里来浔阳。天时人事偶然耳，岂必神助邀马当。伟哉东南擅名胜，嵯峨杰构遥相望。题诗黄鹤有崔颢，七字压倒李白狂。岳阳作记念忧乐，希文道德兼文章。地以人传倘举例，子安一序敢颉颃。何况持论尚器识，徐笺庾赋曷足臧。乃知阎公实好士，大会宾客华筵张。一朝捧袂被容接，剔眉吐气已激昂。群公未赋婿焚稿，天才遽复广坐扬。钟期杨意寓景慕，得一知己名益彰。黄金筑台重声价，巍然此阁堪比量。只我登临纵游目，莫更凭吊搜枯肠。仙人帝子不可作，俯仰一世谁短长。但见山苍苍兮水茫茫，江头日夜风浪浪。"
"虔州赠俞芝恬大令敦培","清末民国初","金武祥","曾与寒梅共结盟，十年重聚倍心倾。才人旧按红牙拍，倦客新怜白发生。南国棠甘闻卧辙，北堂萱茂快称觥。双江水碧崆山翠，照向恬园分外清。"
"虔州即事四首 其一","清末民国初","金武祥","芳讯初传岭上梅，落帆又向郁孤台。渚清沙白双流合，日丽风酣入境开。峦翠空同新著雨，滩声惶恐旧闻雷。计程眴历三千里，多少云山过眼来。"
"虔州即事四首 其二","清末民国初","金武祥","形势从来说虎头，登临易动古今愁。卢谭霸业怀陈迹，闽粤岩畺控此州。戡乱奇勋高一代，效忠大节并千秋。幸逢四海烽烟息，谁念遐方伏莽留。"
"虔州即事四首 其三","清末民国初","金武祥","朋簪差喜聚天涯。腊去春回感岁华。高叟文章开讲席，苏翁父子擅名家。鹧鸪词唱乡心切，蝴蝶图成客梦赊。最是恬园觞咏盛，昨宵羯鼓为催花。"
"虔州即事四首 其四","清末民国初","金武祥","漫与坡仙踵后尘，此邦揽胜往来频。山中自古有明月，郭外至今无逸民。榕倚荒祠空阅岁，兰寻绝巘远藏春。穷经更向皇初溯，可有奇踪赣巨人。"
"章门喜晤孙子成明经缙二首 其一","清末民国初","金武祥","昔年仙侣记同舟，挥手天涯汗漫游。一叶居然逢大海，百花聊共览芳洲。江声南浦流归梦，云影西山淡客愁。试上滕王高阁望，古来题句几人留。"
"章门喜晤孙子成明经缙二首 其二","清末民国初","金武祥","风尘到处有逢迎，携得诗囊字字清。自昔郢中传曲调，于今洛下想才名。云山游屐长无恙，花月倾觞倍有情。好约秦淮重问渡，与君同续丽人行。"
"赠朱意如","清末民国初","金武祥","相见各恨晚，倾谈慨以慷。几经流俗险，漫说少年狂。身世壶堪隐，风尘剑有铓。奇才谁拔尔，四顾益彷徨。"
"落梅","清末民国初","曹家达","琼枝潦倒几斜阳，深锁瑶阶空断肠。元鹤一声下仙子，恶风吹坏苧萝裳。"
"梅花二首 其一","清末民国初","曹家达","娟娟霜月弄寒姿，点破春光上北枝。曾是野桥风色冷，灯花催过上元时。"
"梅花二首 其二","清末民国初","曹家达","山塘清浅带疏林，倒影生寒澡夕阴。江月照人愁夜永，碧天无际广平心。"
"题画","清末民国初","曹家达","惊闻时鸟变春朝，春到南枝閒柳条。恍记隔宵寻梦处，淡烟和月挂溪桥。"
"梅花","清末民国初","曹家达","撩乱西风径竹斜，一天霜气噤寒鸦。羊权老大风情减，孤负仙人绿萼华。"
"为张雄伯写梅用渔洋秋柳韵四首 其一","清末民国初","曹家达","漫天霜月绊花魂，人立苍苔静掩门。早岁春光催及半，残宵寒梦去无痕。香浮江渚难寻渡，酒熟山家别有村。我亦西湖老居士，莫将檀板细评论。"
"为张雄伯写梅用渔洋秋柳韵四首 其二","清末民国初","曹家达","归鸦啼后一林霜，疏影涓涓照野塘。宰相风流心是铁，小姑居处玉为箱。山中雪满思高启，江上花开送蜀王。何事早春催过眼，柳丝杏雨斗鸡坊。"
"为张雄伯写梅用渔洋秋柳韵四首 其三","清末民国初","曹家达","晓寒深透五铢衣，屑玉为尘作聘非。何逊诗馀清兴在，羊权老去旧情稀。红颜临镜易成妒，翠羽惊人相背飞。谁道名心作羁绊，故园常使素心违。"
"为张雄伯写梅用渔洋秋柳韵四首 其四","清末民国初","曹家达","雪压风捎不自怜，冻香撩乱玉生烟。言从团扇歌桃叶，肯让馀春到柳绵。驴背野桥思往迹，乌啼江店又经年。閒来诗思君知否，近在寒云落照边。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其一","清末民国初","曹家达","曾是松林暮憩时，淡妆素服最相宜。野烟疏月不成片，翠羽无端飞上枝。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其二","清末民国初","曹家达","蜀王旧植匝川原，肯为寻幽到水源。一片芳华楼上月，春来还照合江园。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其三","清末民国初","曹家达","花发扬州意肯消，平分好咏入官寮。一从何逊閒居后，无复新诗慰寂寥。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其四","清末民国初","曹家达","当年和靖慰调饥，无恙西湖旧宅非。野鹤不知人去久，天寒犹傍故山飞。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其五","清末民国初","曹家达","陆范风流并劫灰，一枝聊赠见清才。即今春满长安道，无复江南驿使来。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其六","清末民国初","曹家达","姑射仙人绝世姿，乱山残雪水边篱。袁丰但解倾城笑，孤负寒香落酒卮。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其七","清末民国初","曹家达","领取清标作散香，小桥流水送斜阳。南湖荒圃都萧瑟，犹说当年玉照堂。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其八","清末民国初","曹家达","几树参差白玉条，山城水驿见舒翘。年来驴背诗情减，风雪何人过灞桥。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其九","清末民国初","曹家达","离离残竹羃溪斜，古木烟荒噪暮鸦。恰记女红馀志语，寄春封赠入南华。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其十","清末民国初","曹家达","冷香轻逐晓烟霏，却被野风吹上衣。恍记重游李供奉，慈恩荒草绿英稀。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其十一","清末民国初","曹家达","张镃当日品花宜，微雪山林野水湄。背立东风著寒色，不教吹酒上凝脂。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其十二","清末民国初","曹家达","斜月疏灯照夜珠，淩庐台静长青芜。销魂缟袂朝元日，不见新词缀石湖。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其十三","清末民国初","曹家达","独倚西风醉醁醽，云阶月地几垂青。破寒岁岁催人老，摇落王家顿有亭。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其十四","清末民国初","曹家达","千树琼瑶附一椽，琅邪旧隐小游仙。于今开落无人问，九里山中生暮烟。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其十五","清末民国初","曹家达","寿阳宫禁玉阑干，五出妆成额上看。只恐掖庭春事晚，落花深处不胜寒。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其十六","清末民国初","曹家达","佳人相照冶城游，桃李风光占上头。横笛玉箫更凄咽，诗成江令不胜愁。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其十七","清末民国初","曹家达","上元灯火春常在，晴雪溪桥晚更清。高树悬冰碍攀折，单衣终笑庾兰成。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其十八","清末民国初","曹家达","迢迢落素混池冰，庭树翻光夜气凝。除是王筠写伊郁，几人和得孔中丞。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其十九","清末民国初","曹家达","寒林日暮弄孤芳，解佩江妃浅淡妆。惟有心情传不得，云英亲为捣元霜。"
"梅花杂咏二十首仿渔洋秦淮杂诗体为章黻云作 其二十","清末民国初","曹家达","江云照水垂垂发，陇树经春澹澹浮。一缕冻烟飞不起，暝痕催雨过吴头。"
"为潘霞青写梅二首 其一","清末民国初","曹家达","残山剩水几朝曛，酒力消时尚薄醺。庚信单衣缘久客，广平流寓最思君。疏灯孤照一庭雪，空涧斜飞数点云。应是僧寮占清寂，戒香虽好不须薰。"
"为潘霞青写梅二首 其二","清末民国初","曹家达","冻香飘漾满柴关，淡著清标岁务閒。溪水每随孤笛远，野风时送暮禽还。平分春色留芳讯，碎点烟光照玉颜。曾是月斜霜气重，滞人寒梦落空山。"
"次雄伯答画梅韵","清末民国初","曹家达","癯仙自古拙谐俗，野鹤从来不解诗。疏磬断时溪月上，乱山深处冻云迟。性情旁写入枯管，供养随缘觅古瓷。却恨生香传不得，梦魂空自傍瑶池。"
"题梅","清末民国初","曹家达","鸟啼元夜静，斜月过寒井。何处咏花人，寒灯落疏影。"
"梅花吟","清末民国初","曹家达","千年老树花顽铁，孤根屹屹齧冰雪。热肠冰眼羞苟同，三尺琳琅不堪折。独立无偶全天真，天与朗月生和神。空山暮夜北风起，送出人寰第一春。春花如玉瑟其璨，白石为骨山为干。何人对此耐苦吟，篡取江南春一半。点化膏沐烟光融，盘际太古椎空濛。众芳垂尽不改色，逆挽造化天无功。始知剥复互消息，芳年谁与灼奇特。由来高调希匹俦，留与岁寒照颜色。吁嗟乎根器盘错多且坚，兀傲不屈淩风烟。不然且为不材木，移树广莫终天年。佳人日暮守空谷，寒潭写影清于沐。一片忠臣烈士心，霜天响裂柯亭竹。"
"写梅二首 其一","清末民国初","曹家达","孤月下澄碧，斜川霏暝烟。寒吟出霜后，高眼著春先。酒晕流霞盏，香融泼墨笺。年年江树影，消瘦客愁边。"
"写梅二首 其二","清末民国初","曹家达","鲁酒罢遥夜，烟深澄暗香。乌啼半山月，鹤梦一林霜。高韵托孤屿，疏痕落野塘。独怜寒竹外，幽意满潇湘。"
"梅花四章，用渔洋秋柳韵 其一","清末民国初","曹家达","莫向歧亭说断魂，霜天鸦鹊噪閒门。江云带雨催寒色，野水和烟入暝痕。诗思如冰乱宵柝，酒香邀月过前村。曼卿自是无佳咏，绿叶青枝一并论。"
"梅花四章，用渔洋秋柳韵 其二","清末民国初","曹家达","灯花催薄晓天霜，春拥微波下曲塘。塞上新声翻笛谱，陇头归思怨车箱。云阴渺漫三神岛，香海迢遥百谷王。应是冷交传陆范，东风吹满碧鸡坊。"
"梅花四章，用渔洋秋柳韵 其三","清末民国初","曹家达","淩虚台上苧萝衣，缟袂朝元旧迹非。江树薄醺归鸟静，山桥微雪酒人稀。疏灯照影春宜笑，清梦如烟冻不飞。闻道西湖双鹤在，年来野性未曾违。"
"梅花四章，用渔洋秋柳韵 其四","清末民国初","曹家达","孤芳似解畏人怜，一角林阴淡著烟。姑射凝脂羞白纻，江妃清泪渍红绵。新吟东阁移官日，旧事南湖小筑年。却怪骑驴寻未得，灞陵风雪堕崖边。"
"梅花为赵芸孙同年作四首 其一","清末民国初","曹家达","人影杂烟峦，寻幽眼界宽。跛驴过荒涧，孤鹤唳高寒。冰玉毫端坠，关山笛里看。馀芳凭晚出，桃李属春官。"
"梅花为赵芸孙同年作四首 其二","清末民国初","曹家达","问讯神仙尉，幽栖静掩关。晓钟还近寺，春梦不离山。高木荒鸦噪，寒窗粉蝶閒。东风拦不住，一夜到人间。"
"梅花为赵芸孙同年作四首 其三","清末民国初","曹家达","荒鸡动遥夜，春思满横塘。山月吐深碧，溪云浮暗香。和神带清峭，疏韵出微茫。何事连宵咏，听残晓角霜。"
"梅花为赵芸孙同年作四首 其四","清末民国初","曹家达","水驿花团晕，霜崖树倒垂。烟光明翡翠，潭影卧蛟螭。高士林泉癖，神人霜雪姿。和羹留后验，还仗帝王师。"
"梅花","清末民国初","曹家达","淡烟寒月映芳姿，浣尽春愁只自知。不信东君难忍俊，晓来吹酒上凝脂。"
"题梅绝句奉嘉定秦芍舲师三首 其一","清末民国初","曹家达","雨暗虚庭竹，烟荒堕石苔。归鸦栖不稳，飞上短墙来。"
"题梅绝句奉嘉定秦芍舲师三首 其二","清末民国初","曹家达","斜阳淡远林，溪云散空谷。山僧暮不归，微雪入寒竹。"
"题梅绝句奉嘉定秦芍舲师三首 其三","清末民国初","曹家达","山随白雪远，花与春风长。酒力薄遥夜，南枝霏暗香。"
"梅花杂题十四首 其一","清末民国初","曹家达","啾啾宿鸟过南枝，冻月春烟好护持。都道试灯风色暖，酒痕昨夜上凝脂。"
"梅花杂题十四首 其二","清末民国初","曹家达","一缕生香渡水湾，柴门日暮酒人閒。宵来清梦落何处，晴雪和烟淡著山。"
"梅花杂题十四首 其三","清末民国初","曹家达","姑射年年寄远思，山塘流水浣芳姿。晓来和露研新墨，点缀烟光上折枝。"
"梅花杂题十四首 其四","清末民国初","曹家达","芳情才系柳枝条，腊尽山家雪未消。独立黄昏人不见，野钟催月过溪桥。"
"梅花杂题十四首 其五","清末民国初","曹家达","云气低衔野水清，仙人缟袂返瑶京。一声翠羽碧山夜，酒力消时春月明。"
"梅花杂题十四首 其六","清末民国初","曹家达","落尽杨花不捲帘，早春诗句怕愁沾。江城五月风和雨，玉笛声中昔昔盐。"
"梅花杂题十四首 其七","清末民国初","曹家达","冻香曾泛绮窗纱，飘落西湖处士家。若问江南好风景，多应攀赠亚枝花。"
"梅花杂题十四首 其八","清末民国初","曹家达","一枝疏影写娉婷，独立溪桥酒半醒。鹤唳天寒人不见，冷烟斜月下西泠。"
"梅花杂题十四首 其九","清末民国初","曹家达","孤芳消瘦暮江涯，江树晶晶噪暮鸦。绿蚁新醅寒夜永，灯前微雪堕檐花。"
"梅花杂题十四首 其十","清末民国初","曹家达","上元风信逗花梢，一片閒情落远郊。孤笛无心怨流水，冻云搀梦过塘坳。"
"梅花杂题十四首 其十一","清末民国初","曹家达","倒影低衔野水清，每缘芳树结遥情。鹤声为报霜华晚，山寺焚香待月明。"
"梅花杂题十四首 其十二","清末民国初","曹家达","小庭新月报更迟，粉蝶和烟抱亚枝。正是江南好春节，昔耶花落雨晴时。"
"梅花杂题十四首 其十三","清末民国初","曹家达","杈枒老树出垣墙，零落垣衣锁暗香。夜静谁家倚孤笛，茜纱窗外月如霜。"
"梅花杂题十四首 其十四","清末民国初","曹家达","铅华沉照咏花人，疏影依稀为写真。冰雪不曾销艳骨，画梁夜夜起歌尘。"
"拳石梅花篇","清末民国初","曹家达","昔闻娲皇石补天，一拳堕落东海边。不如几千万劫啮冰雪，人间才结梅花缘。傲骨荦确不可贬，冻云野鹤翔其巅。三生以上难纪极，伐毛洗髓称癯仙。霜清月落寡侪偶，冷香夜夜生春烟。泊然天与木石性，米颠逋老相忘年。孤山距此三百里，故人招我梅花篇。"
"绝句题梅花画箑二首 其一","清末民国初","曹家达","江天夜云静，斜月飞孤景。独鹤横江来，高寒数声迥。"
"绝句题梅花画箑二首 其二","清末民国初","曹家达","烟光荡吟魄，潭月漾深碧。湘妃出水寒，独立冻蛟脊。"
"为广东梁范屏写梅","清末民国初","曹家达","邓尉梅花天下稀，罗浮山中春雪霏。江南春色不曾好，晓风吹梦行人归。"
"青浦金剑花同年索书系以绝句","清末民国初","曹家达","冰玉嶒崚照石矼，芳心肯为岁寒降。摩霄黄鹄不知处，玉笛一声凌大江。"
"梅花九首次高青邱韵 其一","清末民国初","曹家达","不信凌虚尚有台，琼枝濯濯见新栽。空明月地羌无偶，险难云峰独后来。巧笑宜春怜碧玉，层阴和梦落苍苔。江南一别归心晏，吹倦东风未忍开。"
"梅花九首次高青邱韵 其二","清末民国初","曹家达","羊权未合酒中仙，缟袂明珰忆旧缘。十里山塘珠照夜，半湾江渚玉生烟。芳心有约春灯后，艳曲新翻暮雨前。若问司花旧宫女，隋家横笛感人天。"
"梅花九首次高青邱韵 其三","清末民国初","曹家达","东川消息圮墙头，漠漠生香淡不收。春竞年华慵对镜，暮寒溪壑又藏舟。明妃北去应含怨，驿使南来不税愁。倘遇骑驴孟夫子，灞桥风雪问前游。"
"梅花九首次高青邱韵 其四","清末民国初","曹家达","满院清光锁梦痕，冰心端不藉香温。舟回剡曲疑无路，山入罗浮尚有村。修到飞琼丹换骨，好凭宋玉赋招魂。谁怜断角疏灯夜，凝伫昏黄半掩门。"
"梅花九首次高青邱韵 其五","清末民国初","曹家达","何年谪降蕊珠宫，诚素迢迢梗未通。瑶瑟怨歌悲独夜，绛绡联袂下寒空。波涵曼渌情孤照，霞晕凝脂酒一盅。自有回风动惆怅，梳台幽恨已成丛。"
"梅花九首次高青邱韵 其六","清末民国初","曹家达","冻云撩乱糁珠尘，盈掬盈担寄远人。白纻自怜残夜月，红颜犹惜去年春。难将桃叶新歌况，转误梨花入梦频。古树江沱感摇落，不堪回忆旧仪真。"
"梅花九首次高青邱韵 其七","清末民国初","曹家达","冰玉交横密藻依，芳尘东阁灿凝辉。雨昏日薄栖鸦早，天回霜高旅雁飞。元稹文章花气动，广平铁石解人稀。扬州重到春何许，都向词人腕下归。"
"梅花九首次高青邱韵 其八","清末民国初","曹家达","陇头风色转春阳，羁客登临睨旧乡。梁帝园林思剪綵，令君衣袂染零香。指看凝艳出姑射，别有清愁来大荒。欲寄所思情意减，云英空复捣元霜。"
"梅花九首次高青邱韵 其九","清末民国初","曹家达","铅华漂净畏人知，无限芳心赠一枝。虚白西楼空照影，小红南豆寄相思。铜龙塞笛怀归夜，玉燕宫钗袅恨时。记取风帘消瘦处，莫教悽绝柏梁诗。"
"为鲤南四弟家修写梅系以八绝句 其一","清末民国初","曹家达","难得江妃春恨消，长门日日长愁苗。君王若喻楼东意，莫遣珍珠慰寂寥。"
"为鲤南四弟家修写梅系以八绝句 其二","清末民国初","曹家达","中洲写影月昏黄，吹罢参差两渺茫。剩有清愁寄修竹，只应珠泪满潇湘。"
"为鲤南四弟家修写梅系以八绝句 其三","清末民国初","曹家达","当年和靖托良谋，大好湖山占上游。秾李夭桃争后起，任凭经过不回头。"
"为鲤南四弟家修写梅系以八绝句 其四","清末民国初","曹家达","绮窗别后换春晖，两载花时意绪违。花若能言还太息，陇头风雪未曾归。"
"为鲤南四弟家修写梅系以八绝句 其五","清末民国初","曹家达","神仙眷属帝王师，南望湖门重有思。传说客星休犯座，富春招隐已多时。"
"为鲤南四弟家修写梅系以八绝句 其六","清末民国初","曹家达","东风送暖开脂盝，明月无心照昔耶。倘念羊权无限意，莫教吹损亚枝花。"
"为鲤南四弟家修写梅系以八绝句 其七","清末民国初","曹家达","春归江上最思君，啼鸟邻家怅薄曛。今夜可知明月里，冷香喷醒一窗云。"
"为鲤南四弟家修写梅系以八绝句 其八","清末民国初","曹家达","山塘流水怅前尘，强勒馀寒避早春。毕竟东君情意厚，迟开留待未归人。"
"写梅","清末民国初","曹家达","疏影落毵毵，相思心上担。东风吹不醒，昨夜梦江南。"
"果园叟潍县郭蓉汀恩孚索画墨梅媵以小诗四首 其一","清末民国初","曹家达","潭静片云宿，山荒冻鸟拳。奈兹果园叟，责我咏花篇。寄兴聊复尔，写生滋惘然。何时北风起，吹梦过江天。"
"果园叟潍县郭蓉汀恩孚索画墨梅媵以小诗四首 其二","清末民国初","曹家达","学书虽不就，必自检柔翰。并世已非偶，相逢况大难。图成众芳歇，权当一枝看。独得清刚气，挥毫霜月寒。"
"果园叟潍县郭蓉汀恩孚索画墨梅媵以小诗四首 其三","清末民国初","曹家达","花事北窗早，离家空自怜。好春不渡海，晴日为摊笺。倒影漾寒水，长条拂暝烟。欲凭江驿寄，高浪暮横天。"
"果园叟潍县郭蓉汀恩孚索画墨梅媵以小诗四首 其四","清末民国初","曹家达","岁暮忽不惬，曰归思更沉。遥知向阳萼，犹抱耐冬心。日暖飘寒蝶，霜高惊暮禽。好寻望乡处，健步一登临。"
"梅花绝句奉果园叟八首 其一","清末民国初","曹家达","陈王才尽怨芳菲，一掬閒愁寄宓妃。小别芝田风色改，年年著破五铢衣。"
"梅花绝句奉果园叟八首 其二","清末民国初","曹家达","春光过处半凄迷，梦旧沉沉化雪泥。曾是上元灯火夜，一庭新月乳鸦啼。"
"梅花绝句奉果园叟八首 其三","清末民国初","曹家达","强冒师雄汗漫游，鸟啼山境更清幽。宵来残醉人何处，明月天涯挂暮愁。"
"梅花绝句奉果园叟八首 其四","清末民国初","曹家达","传说江妃粉黛销，长门终日雨萧萧。三郎毕竟多才思，尚有珍珠慰寂寥。"
"梅花绝句奉果园叟八首 其五","清末民国初","曹家达","北风猎猎撼庭柯，小拨炉灰日已矬。老鹤不飞江树暝，满城微雪夜寒多。"
"梅花绝句奉果园叟八首 其六","清末民国初","曹家达","擪笛高楼酒力降，碧天如水泼空江。东风无力绵春思，化作晴云下绮窗。"
"梅花绝句奉果园叟八首 其七","清末民国初","曹家达","经年花事问东皇，粉蝶垂垂春恨长。自有旧痕寻不得，野烟和梦堕寒塘。"
"梅花绝句奉果园叟八首 其八","清末民国初","曹家达","好凭佳处结茅庵，十里空山静气涵。海上春光飞不到，天风吹我下江南。"
"梅花绝句","清末民国初","曹家达","白云下垂山曲深，明月欲素高烟沉。谁家怨女夜吹笛，雪花飞上红罗襟。"
"红梅","清末民国初","曹家达","孤芳挨过岁寒时，春酒霞痕碧玉姿。最是心情传不得，晓云微雨湿胭脂。"
"为潍邑高旭东画梅","清末民国初","曹家达","拙巢画梅如转毂，一夕可了三百幅。研墨隆隆水漉漉，中夜呼茶恼顽仆。旭东先生信此言，直道南人不惮烦。谁知一幅三百日，尘埋素纸蒙奇冤。笔乾墨秃棘生指，但非素纸已可喜。君不见古来画师懒如牛，十日一石五日水。"
"潍邑诗人丁三叔言索画梅媵之以诗","清末民国初","曹家达","迢迢流水寄相思，缘萼仙人信有之。应是羊权未归去，泪和春雨化胭脂。"
"陈桂五年弟索画梅以小秦王调题之","清末民国初","曹家达","家住罗浮西复西，冻云衔山低复低。美人日暮重延伫，雪花没过郎马蹄。"
"梅花三首答拈险韵者 其一","清末民国初","曹家达","岁寒难得鲁阳戈，草草光阴一刹那。画到徐熙嫌粉本，诗成高启又微疴。可容皮相求姑射，愿托心香供佛陀。旧事江妃浑不解，楼东花谢掩长蛾。"
"梅花三首答拈险韵者 其二","清末民国初","曹家达","图成举举与师师，半幅生绡绝代姿。小李漫吟牵玉虎，羊权还胜婿金龟。荒崖日薄诗肠冻，香海春回醉眼眵。我欲笔锋成剑锷，水天斩断卧蛟螭。"
"梅花三首答拈险韵者 其三","清末民国初","曹家达","数遍群芳总不如，愿将杂佩报春馀。东归洛浦华琚珥，南望湘灵锦瑟虚。梦断荒山惊宿羽，影摇寒水上行鱼。折花莫便传江驿，自有神光照里闾。"
"梅花四言","清末民国初","曹家达","山虚水深，残雪萧萧。古月堕碧，高天泬寥。"
"梅花次唐崔道融韵","清末民国初","曹家达","齧尽睡荄雪，先春良独难。石崖压骨瘦，潭月照神寒。谁信笛中奏，只应天上看。清刚最耐久，未便早摧残。"
